Model Types,Parameter Configurations,Train R2,Train MAE,Train MSE,Train RMSE,Test R2,Test MAE,Test MSE,Test RMSE
KN,"{'leaf_size': 14, 'n_neighbors': 8, 'p': 3, 'weights': 'distance'}",1.0,0.0,0.0,0.0,0.8767307590396965,5.330135482121008,100.87193733615865,10.043502244543914
KN,"{'leaf_size': 11, 'n_neighbors': 7, 'p': 4, 'weights': 'distance'}",1.0,0.0,0.0,0.0,0.8764900276465827,5.322838630210891,99.58446025022697,9.979201383388702
KN,"{'leaf_size': 11, 'n_neighbors': 6, 'p': 3, 'weights': 'distance'}",1.0,0.0,0.0,0.0,0.8748404236285814,5.286449329256476,97.85077455934149,9.891955042323104
KN,"{'leaf_size': 16, 'n_neighbors': 7, 'p': 3, 'weights': 'distance'}",1.0,0.0,0.0,0.0,0.8728073173745421,5.2741429238843365,98.0467859968058,9.901857704330324
KN,"{'leaf_size': 25, 'n_neighbors': 7, 'p': 3, 'weights': 'uniform'}",0.8958631289104383,4.81788914097874,79.21230271430282,8.900129365031882,0.8659108347301867,5.418122053866325,103.4092952556456,10.16903610258345
Linear,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0.8312148023796908,6.682617751340491,113.19979195357209,10.639539085579417,0.8281502855847017,6.580329857639028,108.5515460147287,10.418807322084842
Lasso,{'alpha': 0.002125322276088037},0.8178941333319453,6.76121510865015,121.41006477994917,11.01862354289088,0.8267725511515938,6.584773661784931,113.43712078635961,10.650686399775351
Lasso,{'alpha': 0.0038619750961806473},0.797661946826589,7.03370019783257,134.79843517751956,11.610272829590162,0.8080754051392877,6.828156815392189,125.29934470571733,11.193718984578688
Lasso,{'alpha': 0.006259732050707523},0.7606464061020117,7.621156726793493,160.01826747179808,12.649832705288954,0.7733025044280156,7.381323860590679,147.76072324556358,12.155686868522222
Lasso,{'alpha': 0.007427884243226057},0.7394243031655154,7.991103091958655,174.96426522934703,13.22740583899001,0.7528298521859984,7.744283396173818,161.2151277858247,12.697051932863184
Lasso,{'alpha': 0.007432747704570486},0.7393326624299785,7.992762416450696,175.0312125860152,13.229936227586858,0.7527407681361505,7.745918336201584,161.2756606141367,12.69943544470134
DT,"{'max_depth': 42, 'max_features': 15, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.9230160105188548,3.651947632279532,41.723064595604946,6.4593393312013685,0.7319760498142021,7.190281165725169,186.81572158762867,13.668054784336675
DT,"{'max_depth': 39, 'max_features': 20, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.9456002432178435,3.0311166608306093,28.9115652887245,5.376947580990957,0.7254723314471714,6.868670972374398,186.90564275476765,13.671343853285515
DT,"{'max_depth': 21, 'max_features': 15, 'min_samples_leaf': 5, 'min_samples_split': 14}",0.8741615354774964,4.822884426281978,74.10101179549503,8.60819445618505,0.7052144583578489,7.493486390826508,189.2894613153609,13.758250663342375
DT,"{'max_depth': 27, 'max_features': 15, 'min_samples_leaf': 6, 'min_samples_split': 18}",0.8452029640514475,5.479946464324147,99.35378732767295,9.967636998189338,0.7022500370868072,7.587865665580489,197.05112680115354,14.0374900463421
DT,"{'max_depth': 41, 'max_features': 15, 'min_samples_leaf': 11, 'min_samples_split': 7}",0.8227406086768201,6.177280313667828,126.10513301302045,11.229654180473254,0.6991821191140801,7.654947210156373,203.29108517785315,14.258018276669908
